nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0053580,tt0057298,tt0065126,tt0056217
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0068675,tt0072281,tt0060397,tt0070291
nm0000080	Orson Welles	1915	1985	actor,writer,director	tt0059012,tt0033467,tt0057427,tt0052311
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0048545,tt0055471,tt0057263,tt0055614
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt3315342,tt0119094,tt0045061,tt0048960
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt1617108,tt0424773,tt5969604,tt0969216
nm0000084	Li Gong	1965	\N	actress	tt0101640,tt0397535,tt0430357,tt0473444
nm0000085	Henner Hofmann	\N	\N	cinematographer,producer,camera_department	tt1825758,tt0097523,tt0097738,tt0113482
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0079200,tt0083109,tt0069747,tt0074103
nm0000087	Elena Koreneva	1953	\N	actress,casting_director	tt0080912,tt0122969,tt0123138,tt5847740
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0100069,tt0068304,tt0191104,tt0076551
nm0000089	Richard Paul	1940	1998	actor	tt0088529,tt0117318,tt0093778,tt0075489
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0117631,tt0139809,tt0765443,tt0963178
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0152930,tt0421974,tt0282552,tt0064297
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0095159,tt0063929,tt0085959,tt0071853
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt1210166,tt0114746,tt0421715,tt0356910
nm0000094	J. Reifel	\N	\N	writer	tt0118631,tt0116030,tt0118886,tt0117915
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0075686,tt0116242,tt0097123,tt0079522
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0442632,tt0455590,tt2294189,tt0106179
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0267913,tt0115624,tt0426592,tt0306047
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt1038919,tt3442006,tt0108778,tt1723121
nm0000099	Patricia Arquette	1968	\N	actress,director,soundtrack	tt0145531,tt1065073,tt0108399,tt0412175
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt0118689,tt0109831,tt0274166,tt0110357
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0087332,tt0097428,tt0118747,tt0080455
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0361127,tt0327056,tt0164052,tt0087277
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0089908,tt0120586,tt0115963,tt0181875
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,producer	tt1189073,tt0112851,tt0120657,tt0120746
nm0000105	Adrienne Barbeau	1945	\N	actress,writer,soundtrack	tt0082340,tt0080749,tt1024648,tt0083767
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0120888,tt0120631,tt0151738,tt0343660
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0096895,tt0119488,tt0108525,tt0337921
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0151137,tt0110413,tt0100263,tt0119116
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0119271,tt0062595,tt0131857,tt0115285
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0116477,tt0097499,tt3402236,tt0107616
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0395251,tt0091042,tt0115798,tt0086567
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0795421,tt0143145,tt0120347,tt0113189
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt0111257,tt1454468,tt1041829,tt0212346
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0116282,tt0162346,tt0105236,tt4686844
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0113627,tt0119094,tt0117500,tt0435705
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0090605,tt0499549,tt0120338,tt0103064
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0134084,tt0117571,tt1262416,tt0120082
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0077651,tt0080749,tt0096256,tt0074156
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0207919,tt0105793,tt0275847,tt0111503
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0109040,tt0120382,tt0338013,tt0315327
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0099700,tt0086143,tt0083929,tt0087363
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0039631,tt0044837,tt0027977,tt0032553
nm0000123	George Clooney	1961	\N	actor,producer,director	tt1033575,tt1124035,tt1193138,tt0365737
nm0000124	Jennifer Connelly	1970	\N	actress	tt0315983,tt0180093,tt0102803,tt0268978
nm0000125	Sean Connery	1930	\N	actor,producer,soundtrack	tt0058150,tt0117500,tt0094226,tt0059800
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0099348,tt0102798,tt0103855,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0117571,tt0087800,tt0111686,tt0105121
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt1707386,tt0119488,tt0268978,tt0172495
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0092099,tt0325710,tt0181689,tt0116695
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0111503,tt0322330,tt0120694,tt0095159
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0119229,tt0146882,tt0450385,tt0098258
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0117509,tt0274558,tt0108872,tt1796960
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0116908,tt0091064,tt0164912,tt0103074
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0212338,tt0101540,tt0075314,tt0081398
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt4649466,tt3967856,tt0120591,tt0076489
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0408236,tt0449088,tt0383574,tt0325980
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0114694,tt0099656,tt0086987,tt0083170
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0407887,tt0120338,tt0993846,tt1375666
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt1956620,tt0129387,tt0160127,tt0259711
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0103772,tt0094291,tt0093010,tt0185014
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0904208,tt0106179,tt0120902,tt0443701
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt1205489,tt0105695,tt0405159,tt0112579
nm0000143	Erika Eleniak	1969	\N	actress	tt0094761,tt0105690,tt0083866,tt0106400
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0107977,tt0093779,tt0119468,tt0387564
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0098936,tt0105046,tt0100935,tt0092240
nm0000146	Ralph Fiennes	1962	\N	actor,director,soundtrack	tt0108052,tt1201607,tt2278388,tt0387131
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt0243155,tt0795421,tt1315981,tt1504320
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0118571,tt0090329,tt0106977,tt0082971
